Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,15/04/1995,Eintracht Frankfurt,Bayern München,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,15/04/1995,FC Köln,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,15/04/1995,FC Kaiserslautern,Dynamo Dresden,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,15/04/1995,VfB Stuttgart,FC Schalke 04,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,16/04/1995,1860 München,VFL Bochum,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/04/1995,VFL Bochum,FC Köln,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/04/1995,Karlsruher SC,VfB Stuttgart,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,21/04/1995,Bor. Mönchengladbach,Hamburger SV,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,22/04/1995,Bayern München,Borussia Dortmund,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,22/04/1995,Dynamo Dresden,Eintracht Frankfurt,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,22/04/1995,SC Freiburg,1860 München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,22/04/1995,Bayer Leverkusen,MSV Duisburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/04/1995,FC Schalke 04,KFC Uerdingen 05,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/04/1995,Werder Bremen,FC Kaiserslautern,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,28/04/1995,FC Köln,SC Freiburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,28/04/1995,Hamburger SV,MSV Duisburg,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,29/04/1995,Borussia Dortmund,Dynamo Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,29/04/1995,FC Kaiserslautern,VFL Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
