Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
D1,21/10/2000,VFL Wolfsburg,FC Köln,6,0,H,4,0,H,14000,Franz-Xaver Wack ,8,10,5,6,0,0,3,5,19,18,4,4,1,3,0,0,10,30,1.66,3.45,4.4,1.6,3.2,4.2,1.7,3.4,4,1.62,3.4,5,1.66,3.3,4.5
D1,22/10/2000,VFL Bochum,FC Hansa Rostock,1,2,A,0,0,D,17800,Peter Gagelmann ,25,12,13,6,1,0,10,8,17,22,1,1,0,1,0,0,0,10,1.91,3.25,3.4,1.9,2.9,3.2,2,3.4,3,1.91,3.25,3.5,1.9,3.25,3.4
D1,22/10/2000,SC Freiburg,FC Schalke 04,3,1,H,1,0,H,25000,Wolfgang Stark ,14,14,5,5,0,0,11,7,13,8,3,1,1,1,0,0,10,10,2.4,3.3,2.5,2.7,2.9,2.2,2.6,3.2,2.35,2.7,3,2.4,2.8,3,2.3
D1,27/10/2000,Energie Cottbus,VFL Bochum,2,0,H,2,0,H,15598,Hermann Albrecht ,11,9,3,3,1,2,7,7,17,24,2,2,3,3,0,0,30,30,2.15,3.1,3,2,2.9,3,2,3.2,3.2,1.9,3.75,3.2,2,3.2,3.2
D1,28/10/2000,Borussia Dortmund,FC Kaiserslautern,1,2,A,0,1,A,65000,Alfons Berg ,15,5,3,3,0,0,10,2,12,29,5,2,2,2,0,0,20,20,1.8,3.15,3.85,1.7,3.1,3.8,1.7,3.4,4,1.73,3.25,4.33,1.8,3.3,3.75
D1,28/10/2000,Eintracht Frankfurt,SC Freiburg,3,0,H,2,0,H,23800,Hartmut Strampe ,15,13,9,7,0,0,9,3,25,14,3,1,1,4,0,1,10,65,1.9,3.1,3.75,1.8,3,3.5,1.8,3.25,3.75,1.8,3.25,4,1.9,3.25,3.4
D1,28/10/2000,FC Hansa Rostock,VFL Wolfsburg,1,1,D,0,1,A,14000,Helmut Krug ,15,13,5,5,1,0,5,3,9,4,4,0,0,5,0,0,0,50,2.2,3.2,2.85,2.1,2.9,2.9,2.2,3.2,2.8,2.1,3.25,3,2.2,3.2,2.8
D1,28/10/2000,FC Schalke 04,Bayer Leverkusen,0,0,D,0,0,D,41545,Lutz Michael Fröhlich ,14,6,5,4,0,0,5,3,14,11,5,1,3,3,0,0,30,30,2.15,3.2,2.95,2.1,2.9,2.9,2.1,3.2,3,2.2,3.2,2.88,2.2,3.2,2.8
D1,28/10/2000,SpVgg Unterhaching,Hamburger SV,2,1,H,0,1,A,12000,Florian Meyer ,16,7,4,3,0,0,6,6,18,6,3,2,1,0,0,0,10,0,2.6,3.2,2.4,2.9,2.9,2.1,2.6,3.2,2.35,2.75,3.2,2.25,2.62,3.1,2.37
D1,28/10/2000,Werder Bremen,Bayern München,1,1,D,1,1,D,35282,Herbert Fandel ,10,16,4,4,1,1,5,4,20,21,5,7,2,3,0,0,20,30,3.25,3.15,2.05,2.9,2.9,2.1,3.2,3.2,2,3.5,3.2,1.9,3.5,3.2,1.9
D1,29/10/2000,FC Köln,VfB Stuttgart,3,2,H,2,2,D,32000,Helmut Fleischer ,17,22,6,9,2,0,3,5,18,22,1,2,4,3,0,0,40,30,2.3,2.8,3.05,2.3,2.9,2.5,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.1,2.8
D1,29/10/2000,1860 München,Hertha BSC,0,1,A,0,0,D,27600,Jürgen Jansen ,23,16,11,7,1,0,6,4,20,26,2,4,1,1,0,0,10,10,2,3.2,3.15,2.1,2.9,2.9,2.2,3.25,2.75,2.1,3.2,3,2.1,3,3.2
